HOUSEID,PERSONID,TDTRPNUM,TRVLCMIN,TRIPPURP,WHYTO,WHYFROM,TRPTRANS,trip_mode_drivingDetail,trip_mode_simplified,trip_purpose,trip_mode_EXTRA_simplified,trip_purpose_EXTRA_simp
30507495,02,01,7,HBW,03,01,06,Drive: Pickup Truck,Drive,Work,Drive,Work
30507495,02,02,16,NHB,13,03,06,Drive: Pickup Truck,Drive,Going out to eat,Drive,Getting Food/Drinks
30507495,02,03,10,HBSHOP,01,13,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30508347,02,01,10,HBW,03,01,06,Drive: Pickup Truck,Drive,Work,Drive,Work
30508347,02,02,30,HBW,01,03,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30513081,01,01,84,HBW,04,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30513081,01,02,60,NHB,04,04,04,Drive: SUV/Van,Drive,Work,Drive,Work
30513081,01,03,30,NHB,04,04,04,Drive: SUV/Van,Drive,Work,Drive,Work
30513081,01,04,60,HBW,01,04,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30513081,02,01,30,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30513081,02,02,30,NHB,11,03,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30513081,02,03,10,HBSHOP,01,11,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30513081,03,01,30,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30513081,03,02,30,NHB,13,03,03,Drive: Car,Drive,Going out to eat,Drive,Getting Food/Drinks
30513081,03,03,10,HBSHOP,01,13,03,Drive: Car,Drive,Going Home,Drive,Going Home
30515138,01,01,15,HBSHOP,13,01,05,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
30515138,01,02,10,HBSHOP,01,13,05,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30517687,01,01,30,HBW,03,01,06,Drive: Pickup Truck,Drive,Work,Drive,Work
30517687,01,02,19,NHB,13,03,06,Drive: Pickup Truck,Drive,Going out to eat,Drive,Getting Food/Drinks
30517687,01,03,12,NHB,03,13,06,Drive: Pickup Truck,Drive,Work,Drive,Work
30517687,01,04,21,NHB,12,03,06,Drive: Pickup Truck,Drive,Errands,Drive,Errands (Non-shopping)
30517687,01,05,19,HBSHOP,01,12,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30517687,02,01,30,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30517687,02,02,5,NHB,11,03,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30517687,02,03,30,HBSHOP,01,11,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30533565,01,01,45,HBSHOP,11,01,06,Drive: Pickup Truck,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30533565,01,02,45,HBSHOP,01,11,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30533565,01,03,5,HBO,14,01,06,Drive: Pickup Truck,Drive,Errands,Drive,Errands (Non-shopping)
30533565,01,04,5,HBO,01,14,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30533565,02,01,20,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30533565,02,02,15,NHB,13,03,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
30533565,02,03,15,NHB,03,13,04,Drive: SUV/Van,Drive,Work,Drive,Work
30533565,02,04,20,HBW,01,03,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30541073,01,01,20,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30541073,01,02,30,HBW,01,03,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30541073,01,03,10,HBSHOP,13,01,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
30541073,01,04,10,NHB,11,13,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30541073,01,05,5,HBSHOP,01,11,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30541073,02,01,10,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30541073,02,02,10,NHB,17,03,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30541073,02,03,20,NHB,17,17,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30541073,02,04,15,HBSOCREC,01,17,03,Drive: Car,Drive,Going Home,Drive,Going Home
30550419,01,01,5,HBSHOP,12,01,06,Drive: Pickup Truck,Drive,Errands,Drive,Errands (Non-shopping)
30550419,01,02,6,HBSHOP,01,12,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30550419,02,01,15,HBO,18,01,03,Drive: Car,Drive,Medical Visit,Drive,Medical Visit
30550419,02,02,31,NHB,14,18,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30550419,02,03,15,HBO,01,14,03,Drive: Car,Drive,Going Home,Drive,Going Home
30551382,01,01,50,HBO,14,01,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
